時間日期,網址,標題,☯  上階層,[下階層],時間戳記
2025/07/02,https://www.youtube.com/watch?v=SIwVcjg-7qI,洛狗：為什麼要漲電價？一部片告訴你：台灣的能源政策問題出在哪？,社會學,,2025/7/2 下午 9:57:03
2025/07/02,https://www.youtube.com/watch?v=LT8TmQgOmgo,彭振聲妻子過世，綠網軍光速甩鍋 #民進黨 #大罷免 #柯文哲 #賴清德 #彭振聲,社會學,,2025/7/2 下午 9:29:20
2025/07/01,https://www.youtube.com/shorts/SjQ_wjCt0N0,【要聞】彭振聲庭外哭喊「我是無辜的」,社會學,,2025/7/3 上午 6:26:26
2025/07/01,https://www.youtube.com/watch?v=Dv_4xdq3gHA,柯文哲 7/1法庭發言｜司法改革不能紙上談兵 對民主的維護也不是在家看電視,"社會學, 系列主題, 台灣民眾黨專區",柯文哲-先行者,2025/7/6 上午 8:32:53
2025/07/01,https://www.youtube.com/watch?v=T5lH74y9VmA,賴清德翻車三講，代表什麼？/館長化身「祖國人」的深意？,社會學,,2025/7/2 下午 9:47:20
2025/06/29,https://www.youtube.com/watch?v=1eftTd4V0PU,這個影片就來聊一下賴清德的國家團結十講中的第三講 憲政體制 | 國會改革 | 財劃法 | 總統立法院報告 | 潛藏珍貴力量?青鳥之力?大罷免之力? | #賴清德 #憲政體制 #20250629,"時事輿論, 社會學",,2025/7/1 上午 6:31:57
2025/06/28,https://www.youtube.com/watch?v=nUOsPe4LYg4,[罷芯四部曲] 終章：罷芯發言人小令，真實身分竟是台灣政府高層，中共以總統級規格針對,"時事輿論, 社會學",,2025/6/28 下午 2:16:59
2025/06/27,https://www.youtube.com/watch?v=1uMT5YYOLzo,法庭直播來了黃國昌竟這樣說！柯建銘急了胡說八道！讓陽光照進法庭把真相還給社會！#黃國昌 #韓國瑜 #柯建銘 #柯建铭,"時事輿論, 社會學",,2025/6/27 下午 7:32:57
2025/06/27,https://www.youtube.com/watch?v=3RF0ZDR8vsM,淺談感情這回事 SUPER NEWGO,"休閒牧場, 人生哲學, 戀愛研究院",,2025/6/27 下午 8:08:56
2025/06/26,https://www.youtube.com/watch?v=4VEyDRS6qZM,@2chill 最雖小的一代?,"休閒牧場, 社會學, AI相關",,2025/6/26 下午 4:57:36
2025/06/26,https://www.youtube.com/watch?v=1yOADjMyYQM,🔴 Live【誰來Talk館】第一百三十三集 | 法西斯再起、提槍上戰場 | 我是說在野的各位都是雜質 | feat. 吳宗憲 ‪@jameswu_not_jacky,"時事輿論, 社會學, 系列主題",陳之漢-義士,2025/6/28 下午 12:48:09
2025/06/26,https://www.youtube.com/watch?v=cn4tP4rAkjA,7/26讓我們證明：我雜質、我驕傲！每週四中午十二點 LIVE【謝寒冰｜新聞秘辛】2025.06.26 ‪@funseeTW‬ ‪@謝寒冰-p7i‬,"時事輿論, 社會學",,2025/6/26 下午 1:28:11
2025/06/26,https://www.youtube.com/watch?v=iq6oKmEOSGE,從陳文茜案例看西醫要害在哪裡？藥廠利益怎麼來？如何挑選中醫自保？,醫學,,2025/6/28 下午 6:35:38
2025/06/25,https://www.youtube.com/watch?v=tOCQDPRA0Q8,114年6月25日 我們不只等你 是要帶你回家 土城看守所 第114+174天 #柯文哲 #土城看守所 #心存善念盡力而為 #押人取供 #反惡罷 #司法迫害 #政治辦案 #京華城弊案 #放志樂團,"時事輿論, 社會學, 台灣民眾黨專區",小草,2025/6/25 下午 11:03:51
2025/06/25,https://www.youtube.com/watch?v=6b_OLb-Wq2Q,直接買200多億，自己造500多億，台灣海峽平均深度60公尺很難躲喔。 SUPER NEWGO,"社會學, 科技, 軍武",,2025/6/25 下午 12:16:02
2025/06/25,https://www.youtube.com/watch?v=6jhUuetACLA,青鳥悲憤「回台機票慘遭小草退單」，結局大翻轉 #民進黨 #賴清德 #黃國昌 #柯文哲 #國民黨,社會學,,2025/6/25 上午 11:38:21
2025/06/25,https://www.youtube.com/watch?v=FjxBravCK7o,這個影片就來聊一下賴清德的第二講團結吧 | 根本就是大側翼演講吧? | 還在那邊台派中華民國派? | #賴清德 #團結 #民進黨 #國民黨 #民眾黨 #20250624,社會學,,2025/6/25 上午 3:22:54
2025/06/25,https://www.youtube.com/watch?v=tP0zHb1v8HU,賴清德「打掉雜質」非指藍白兩黨? 黃暐瀚新解釋 ! #民進黨 #賴清德 #柯文哲,"時事輿論, 社會學",,2025/6/27 下午 1:17:44
2025/06/24,https://www.youtube.com/watch?v=qZxdkkMlHwE,[罷芯四部曲] 第三集：徐巧芯被罷團提告毀損 ? 法學博士林志潔支持提告,"時事輿論, 社會學",,2025/6/25 上午 11:23:08
2025/06/24,https://www.youtube.com/watch?v=rlJCV8GMDcE,@2chill 第二天 愛在發電,"時事輿論, 社會學",,2025/6/25 上午 10:53:35
2025/06/24,https://www.youtube.com/watch?v=hy6CtiWRcnw,賴清德高喊「團結」為何令人作嘔? #民進黨 #賴清德 #黃國昌 #柯文哲,"時事輿論, 社會學",,2025/6/24 下午 3:35:38
2025/06/23,https://www.youtube.com/watch?v=TSmapXBqhek,【國昌質詢】29億八德外役監工程：缺失連連、違法硬幹｜2025-06-23｜司法及法制委員會,"時事輿論, 社會學, 系列主題, 台灣民眾黨專區",黃國昌-通識課,2025/6/24 上午 11:16:36
2025/06/23,https://www.youtube.com/watch?v=IkpSMOCX-qc,【跟拍到你家】半邊臉停止發育的女孩｜緯來日本台,休閒牧場,,2025/6/25 下午 2:29:29
2025/06/23,https://youtu.be/tk3U0lOOc0Y?si=O-_EGGEU2T-IeWbQ,請站出來投下，不同意罷免票，面對這樣的政府我們每一步都要走到做到,"時事輿論, 社會學",,2025/6/23 下午 4:55:51
2025/06/23,https://www.youtube.com/watch?v=Lf_UMBR1hVI,賴清德終於出馬撕裂台灣了！謝寒冰線上 LIVE【謝寒冰｜有哏來爆】2025.06.23 ‪@funseeTW‬ ‪@謝寒冰-p7i‬,"時事輿論, 社會學",,2025/6/23 下午 6:49:04
2025/06/22,https://www.youtube.com/watch?v=E8VN2rEDivE,【請轉傳給身邊的10個人】-【726不同意罷免票】民進黨翻桌計劃，你還看不出來？ 7/26這一票，只為守住台灣！投下不同意票，守住立法院最後防線！【台灣未來危機】再不投下不同意票，民主可能只剩表面！,"時事輿論, 社會學",活動,2025/6/23 上午 12:36:27
2025/06/22,https://www.youtube.com/watch?v=bZe0pLmhNHE,6/22假日花市「新竹要安定，票投不同意」全台都要投不同意,"時事輿論, 台灣民眾黨專區",小草,2025/6/22 下午 5:39:22
2025/06/22,https://www.youtube.com/watch?v=TZbqqdewbvw,斗六西市場，拒看假新聞，反惡罷,"時事輿論, 台灣民眾黨專區",小草,2025/6/23 下午 5:07:03
2025/06/22,https://www.youtube.com/shorts/klgcjVDs2A8,賴清德必須關柯文哲的真正理由 #民進黨 #柯文哲 #賴清德,"時事輿論, 社會學, 台灣民眾黨專區",小草活動 ,2025/6/23 上午 8:05:07
2025/06/21,https://www.youtube.com/watch?v=QgXIECuUQHA, 【POE3.26】垃圾變黃金 追憶野獸煉金術! 新手老手完全適用! (CC字幕),"poe流亡暗道, ACG同好會",,2025/6/22 上午 7:37:08
2025/06/21,https://www.youtube.com/watch?v=TY3idMKsHdA,POE3.26-擺脫刻板印象，元素弓早已輕鬆拓荒！劇情各階段新手教學｜賭博系統讓拓荒更容易,"poe流亡暗道, ACG同好會",,2025/6/22 上午 8:04:00
2025/06/20,https://youtu.be/WuJdosq8MuY?si=vncYQaDAszWnITiF,【20250620】這是一個重大的關鍵|證明柯文哲清清白白‪@Notorious_3cm‬,"時事輿論, 社會學, 台灣民眾黨專區",,2025/6/22 上午 1:10:12
2025/06/20,https://www.youtube.com/watch?v=QpHnlXNZByY,【POE 3.26】投入甲蟲壓榨精髓＋藍王農圖解析！輸出佳流派的福音！高回報10Dup小時收益【Change】,"poe流亡暗道, ACG同好會",,2025/6/22 上午 8:32:39
2025/06/19,https://www.youtube.com/watch?v=E0FlYyjLTHo,【國昌質詢】吳釗燮捅的國安破口 林佳龍坦承傷害大｜2025-06-19｜外交及國防委員會,"社會學, 系列主題, 台灣民眾黨專區",黃國昌-通識課,2025/6/24 上午 11:49:28
2025/06/19,https://www.youtube.com/watch?v=rrpPKrFHKnk,【國昌質詢】賴政府13萬社宅全無進度，還要停滯多久?｜2025-06-18｜內政委員會,"社會學, 系列主題, 台灣民眾黨專區",黃國昌-通識課,2025/6/24 上午 11:40:47
2025/06/19,https://www.youtube.com/watch?v=R7kjiWrDEOg,【國昌質詢】賴清德總統的空頭支票 對不起新住民的民進黨｜2025-06-18｜司法及法制委員會,"社會學, 系列主題, 台灣民眾黨專區",黃國昌-通識課,2025/6/24 下午 12:00:29
2025/06/19,https://youtu.be/3ovJKSwMIBQ?si=k_twqQY-h3wV8fuq,苗博雅批黃國昌，用錯資料拒道歉，法律人素養何在? #民進黨 #黃國昌 #苗博雅 #賴清德,"時事輿論, 社會學",,2025/6/22 上午 1:04:45
2025/06/19,https://www.youtube.com/live/1ZUtPsLrE8U?si=a9qdowUZszc2fhhn,警察來抓人了😮‍💨,"時事輿論, 社會學",,2025/6/23 上午 11:39:16
2025/06/18,https://www.youtube.com/watch?v=Bf0yroOdQz8,2025-06-18《POP大國民》平秀琳專訪黃國昌 談「苗博雅酸『腳尾飯2.0』、鄭銘謙喊『送調查』！昌：荒謬可笑！雙標+法盲！/ 遭綠酸『已讀不回電』！總統府還敢提『柯蔡會』？昌：無恥至極！」,"社會學, 系列主題",黃國昌-通識課,2025/6/28 上午 10:29:11
2025/06/18,https://youtu.be/0EphVxevTcQ?si=GX9BADc8uJyp91zr,來看黃國昌怎麼打臉三立名嘴+苗博雅:錄音檔的真相,"時事輿論, 社會學",,2025/6/22 上午 9:26:47
2025/06/17,https://youtu.be/vN9n8rgPZC8?si=hIBecMyZf_jBPeGw,人生有三件事千萬不能碰，否則業障纏身禍患無窮！現在知道還不晚，速看避雷！#曾仕强#人生智慧#因果#業障,人生哲學,,2025/6/22 上午 8:48:46
2025/06/17,https://www.youtube.com/watch?v=zZTlp49KzhU,任何職業永久滿嗜魂/纏繞細語配上99%減少詛咒持續時間 Path of Exile 3.26 輿圖之奧秘 流亡黯道,"poe流亡暗道, ACG同好會",,2025/6/22 上午 7:46:37
2025/06/17,https://www.youtube.com/live/_9FHv8OpQTc?si=fMODTWXlTjUBHoFW,PTT爆文連燒 黑熊防災包炸了,"時事輿論, 社會學",,2025/6/22 下午 12:15:29
2025/06/16,https://youtu.be/V-2Z2Y8YGxY?si=f4ayRFr3uGTG_xVV,《挺你到底》｜致館長與柯文哲的兄弟情誼饒舌詩｜不畏抹黑，逆風同行！,台灣民眾黨專區,小草,2025/6/22 上午 10:08:31
2025/06/16,https://youtu.be/bnSDyMpa2zo?si=9SuSVDP9Yb7qXVPq,EP577 工作中那些讓你「看不過去、忍不住想出手」的鳥事，多半是你「找到 #天命」的暗示！｜大人的Small Talk,"人生哲學, 開創者",,2025/6/22 上午 8:52:45
2025/06/15,https://www.youtube.com/live/bKg0IbmjARo?si=S9Xxezi2_TipYZhT,簡評館長大陸行。藍白要去賴清德的鴻門宴嗎？看陳文茜病入膏肓，你想過經方中醫嗎？,"時事輿論, 社會學",,2025/6/22 上午 1:47:37
2025/06/14,https://www.youtube.com/watch?v=oBKaUJD-RnU,【20250614】遊上海最後一天|館長做好準備了‪@Notorious_3cm‬,"社會學, 系列主題",時事輿論|陳之漢-義士,
2025/06/13,https://youtu.be/oKF_hkKM6Fo?si=dTGKySMngQm1cCQy,拼尽全力无法抓住#剑星#doro,ACG同好會,二次創作,2025/6/22 下午 12:30:37
2025/06/12,https://youtu.be/9agf3hdk5T4?si=c7rewb1rMVUVjZu2,館長祈求城隍老爺🙏救救柯文哲🥺 #柯文哲 #館長 #阿北 #阿館 #城隍廟 #上海,"時事輿論, 社會學, 系列主題",陳之漢-義士,2025/6/22 下午 12:36:43
2025/06/11,https://youtu.be/YptvqgRGw9I?si=0RUJz9FzbBTE81fe,[民眾黨奪魂曲] 第二集：恐怖情人吳靜怡，帶到柯文哲 ! 蔡壁如 史書華,"時事輿論, 社會學",,2025/6/23 上午 9:13:29
2025/06/11,https://youtu.be/rrvISQF5_vA?si=mmCpNlZS5CjG9eKl,「只有民進黨會栽培窮人!給年輕人機會!」- 我到底看了三小? #民進黨 #賴清德 #黃國昌 #柯文哲,"時事輿論, 社會學",,2025/6/23 上午 8:51:47
2025/06/11,https://www.youtube.com/watch?v=e8vGHqVPp1Y,"【醫療大崩潰】護理師1,300人離職！你還敢生病嗎？【實錄】台灣醫療垮了？護理師爆走、病人自求多福！為什麼護理師都不做了？真相讓你看了想罵髒話！護理師怒辭：不是不愛病人，是這制度要人命",社會學,,
2025/06/11,https://youtu.be/9ILyLTxmClw?si=XxhSNjWUNio0EdJ1,"😁發現一隻玩偶醜萌醜萌的，結果是自己看錯角度。😁He found that a doll was ugly and cute, but he misread the angle.#shorts",這是什麼酷酷的東西,,2025/6/22 下午 12:34:51
2025/06/11,https://youtu.be/nQGe_3oQEYg?si=jKvQsxU4aw9H3xKZ,民眾黨力推法庭直播修法!黃國昌正面對決高等法院美女法官｜品觀點,"時事輿論, 社會學",,2025/6/22 下午 12:52:59
2025/06/11,https://youtu.be/P48Xu7CZds4?si=r79zVMGuRdqLcjSG,憨川又出來鬧?!軍人加薪三讀卻談刪預算?!遭藍白嚴重洗臉 #黃國昌 #王義川 #國防預算 #志願役 #海鯤號,"時事輿論, 社會學",,2025/6/22 下午 12:33:58
2025/06/09,https://youtu.be/HijIGMOWULs?si=QNwcH_TOm864RURf,不擅長人際交往？這麼做，人緣暴漲！ #風水 #命理#國學 #經典 #命運 #智慧,人生哲學,,2025/6/22 上午 1:24:18
2025/06/08,https://www.facebook.com/photo/?fbid=1261748821984947&set=a.813693966790437,巧合多到令人毛骨悚然，我已經開始懷疑這個「小沈1500」是不是北檢「自導自演」陷害柯P？,社會學,,
2025/06/08,https://www.youtube.com/live/n6BxV6TpTf0?si=yS9v_cTGxDdmfvfG,柯文哲非死不得出？Google不信任中華電信會怎樣？監察院國庫當家庫，意外嗎？你明白央行造成了多少傷害嗎？,社會學,,
2025/06/06,https://www.youtube.com/shorts/Q7DjEoRZ-q0,這小女孩太猛了，根本天才來著！😯😮,這是什麼酷酷的東西,,
2025/06/06,https://www.youtube.com/shorts/oCL82QI_cSo,Asmongold 「神還活著」,這是什麼酷酷的東西,,2025/7/14 下午 10:04:57
2025/06/03,https://www.youtube.com/watch?v=glUwFaafeJs,柯文哲6/3法庭發言｜柯文哲肯定邵琇珮專業 看昔日部屬憔悴了 柯P：妳要振作,"社會學, 系列主題",柯文哲-先行者,2025/6/28 上午 11:25:40
2025/06/02,https://www.youtube.com/watch?v=ocOOf0y4s08,天氣為什麼越來越熱？下過雨還是悶熱難耐？看看你家附近公園土壤是不是也有這種問題！,"社會學, 生物學",,
2025/05/28,https://www.youtube.com/watch?v=UfaTrQEuanw,躺平已過時！「老鼠人」席捲Z世代！躺平過時，窩居不出門的低能量革命！揭秘年輕人如何用擺爛抵抗無望未來！【財之道】‪@moneyrules8‬#鼠鼠人~,社會學,,
2025/05/11,https://youtu.be/tZku1K7x0Yc?si=ji882QI0Y6UTASkC,不退的聲音 致柯文哲主席、台灣民眾黨支持者。久等了....,"音樂收藏, 台灣民眾黨專區",小草,2025/6/23 上午 11:05:13
2025/05/01,https://youtu.be/OS8FAxQb3zM?si=jbtcpIwyEuft9sdI,當生活沒有熱情，不知道自己喜歡什麼怎麼辦？,"休閒牧場, 人生哲學",,2025/6/22 下午 12:04:33
2025/05/01,https://www.youtube.com/watch?v=OS8FAxQb3zM,當生活沒有熱情，不知道自己喜歡什麼怎麼辦？,人生哲學,,
2025/04/27,https://www.youtube.com/shorts/ByR7bGdeo3U,Doro拿着最后一袋橘子来看你Doro要创造一个没有坏结局的世界#Doro #胜利女神nikke,ACG同好會,,
2025/04/14,https://youtu.be/NctdsDpTGCA?si=xq3RdEqNAZ3IOq7v,我們等你回來〔字幕版〕致台灣民眾黨支持者、致柯文哲主席，阿北！我們彼此約定都不放棄！,"音樂收藏, 台灣民眾黨專區",小草,2025/6/23 上午 10:50:02
2025/04/12,https://youtu.be/jzT1S40H3jc?si=abNw5w-nLraonl-v,【2024設計獎得獎上新】免手洗懒人伸縮拖把，新升級設計，不在擔心拖把不好弄，新升級長度設計，同時不沾手放人工擰拖把，使打掃變得簡單,生活日常,,2025/6/22 下午 12:31:50
2025/04/03,https://www.youtube.com/watch?v=oOIztBXox60,Lapwing - Face Tracking Add on,"ACG同好會, Vtuber/Vup收藏",,
2025/03/03,https://youtu.be/bOgVth_evgU?si=KS1oe4wrApHBPMZl,《低IQ時代》是想像？還是現在進行式？掌握一個原則、三項技能，幫助擺脫阿巴阿巴阿巴巴。｜有欸Ueh 中秋烤肉,休閒牧場,,2025/6/23 上午 9:46:28
2024/12/27,https://www.youtube.com/shorts/OgrRYw0PBE8,謝謝大家的陪伴，我回家了。,社會學	系列主題	台灣民眾黨專區,時事輿論 柯文哲-先行者,
2024/12/16,https://www.youtube.com/watch?v=JgpF1EDL1f0,【深入綠色市場】她遇到我們激動說：不宣傳大家都不知道我們浪費多少錢,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
2024/12/16,https://www.youtube.com/watch?v=AZQ2gzb1ROw,【館長精華】終於要更新我們的戰車？一代傳一代人走車還在！,"社會學, 系列主題",時事輿論|陳之漢-義士,
2024/12/16,https://www.youtube.com/watch?v=m_9RCtL4NMQ,2024年12月15日 新北耶誕城小草活動 聲援柯文哲 #柯文哲 #心存善念盡力而為 #程序正義 #寧靜舉牌,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
2024/12/13,https://www.youtube.com/watch?v=EW8HFmxEE4o,【台南新營】舉牌反廢死、反霸凌『被嗆時』她說：我背後的動機是美好台灣，所以對的事情繼續做,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
2024/12/13,https://youtu.be/rZhTY9XQuK0?si=tCgRb3orhT5jpYL4,手動美化AI產出的模型 Refining TRELLIS AI Creations in Blender,blender,角色 基礎 附加元件,2025/6/23 上午 8:46:28
2024/12/13,https://www.youtube.com/watch?v=rZhTY9XQuK0,手動美化AI產出的模型 Refining TRELLIS AI Creations in Blender,blender,,
2024/12/12,https://www.youtube.com/watch?v=C4wr_0o8S0U,你就是困住自己的那座山？從自我破壞到自我控制的四個方法｜《你就是困住自己的那座山》,人生哲學,,
2024/12/11,https://www.youtube.com/watch?v=WmhlGbTw-4Y,【國昌直播SP】聊聊勞動布針對霸凌與貪瀆的包庇遮掩,"社會學, 系列主題",時事輿論|黃國昌-通識課,
2024/12/11,https://www.youtube.com/watch?v=GnzYnJPmBRw,【彰化花壇夜市】路過暖心美女草送物資，她也跟全國小草說一句話,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
2024/12/11,https://www.youtube.com/watch?v=YqIPMZyKLAQ,2024/12/10 中和永安捷運站寧靜舉牌死#柯文哲 #心存善念盡力而為 #寧靜舉牌 #永安捷運,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
2024/12/11,https://www.youtube.com/watch?v=cW3gCVifkvQ,環島自發舉牌_廟宇篇_桃園特別篇 ft.小馬 ‪@wei_going‬ ‪@TheGrassMedia‬,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
2024/12/10,https://www.youtube.com/watch?v=rfb-3dW8Sys,環島自發舉牌_廟宇篇_第十三集,"社會學, 台灣民眾黨專區",敘述|小草發聲,
2024/12/09,https://www.youtube.com/watch?v=4Jvd_6iGF6I,【國昌直播】看看(我在)立法院做什麼_1209,"社會學, 系列主題, 台灣民眾黨專區",時事輿論|黃國昌-通識課|質詢|立法院,
2024/12/09,https://www.youtube.com/watch?v=jwi4SejQ1io,2024-12-08 新北板橋寧靜舉牌 #柯文哲 #心存善念盡力而為 #寧靜舉牌 #小草陸戰 #花若盛開蝴蝶自來,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
2024/12/09,https://www.youtube.com/watch?v=6KXkdwfyHKA,環島自發舉牌_廟宇篇_第十二集,"社會學, 台灣民眾黨專區",敘述|小草發聲,
2024/12/08,https://www.youtube.com/watch?v=gaGDfW02bc4,環島自發舉牌_廟宇篇_第十一集,"社會學, 台灣民眾黨專區",敘述|小草發聲,
2024/12/07,https://www.facebook.com/photo/?fbid=1075668937894369&set=pb.100063538188046.-2207520000,反霸凌護勞權大遊行12/07(六)14:00-16:00,"社會學, 台灣民眾黨專區",敘述|小草發聲,
2024/12/07,https://www.youtube.com/watch?v=xmbxne0nA5o,環島自發舉牌_廟宇篇_第十集,"社會學, 台灣民眾黨專區",小草發聲|敘述,
2024/12/06,https://www.youtube.com/watch?v=jfDjSWnclJ0,【婚姻病痛學】-失語-我和你之間，已經沒什麼話好說 - 鄧惠文 專訪 吳孟玲 華得聯合法律事務所的主持律師 -【心事有人知】20241206,"人生哲學, 戀愛研究院",,
2024/12/06,https://www.youtube.com/watch?v=64OGRuxu_oI,寧靜革命手札 ( 凹凸不平胖市民 ‪‪@fatmanvoice‬) ‪ - 信念 (‪@高虹安‬),"社會學, 台灣民眾黨專區",敘述|小草發聲,
2024/12/06,https://www.youtube.com/watch?v=1Y3CfWwRZVM,環島自發舉牌_廟宇篇_第九集,"社會學, 台灣民眾黨專區",敘述|小草發聲,
2024/12/05,https://www.youtube.com/watch?v=9fDDaSk6ZC8,2024/12/01寧靜舉牌+遊行及訪問【板橋新埔】x猶原徛佇遮 ‪@pig920071‬ ‪@狐尾草北部特派員,"社會學, 台灣民眾黨專區",敘述|小草發聲,
2024/12/05,https://www.youtube.com/watch?v=5WqB8bOdisA,環島自發舉牌_廟宇篇_勝安宮特別篇 ft.小馬 ‪@wei_going‬ ‪@TheGrassMedia,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
2024/12/04,https://www.youtube.com/watch?v=SmekmJmnO5g,【國昌直播】看看(我在)立法院做什麼_1202(cc字幕),"社會學, 系列主題",時事輿論|黃國昌-通識課,
2024/12/04,https://www.youtube.com/watch?v=tynBGW86R7w,【鳳山市場】他問誰叫我們來，我們說自己要來宣傳拒看假新聞，而那個男人聽了也想砸電視,"社會學, 台灣民眾黨專區",時事輿論|小草發聲,
